date,num,subtotal
2015-06-15/2015-06-21,323,6983737
2015-06-22/2015-06-28,1591,37246958
2015-06-29/2015-07-05,1101,26207698
2015-07-06/2015-07-12,823,19672471
2015-07-13/2015-07-19,1375,33274722
2015-07-20/2015-07-26,1352,31633997
2015-07-27/2015-08-02,1338,29860464
2015-08-03/2015-08-09,1712,37807273
2015-08-10/2015-08-16,1601,34908791
2015-08-17/2015-08-23,1712,38041427
2015-08-24/2015-08-30,1910,41619664
2015-08-31/2015-09-06,1988,40646796
2015-09-07/2015-09-13,2031,42067621
2015-09-14/2015-09-20,2378,47882618
2015-09-21/2015-09-27,2574,49815711
2015-09-28/2015-10-04,1436,26806149
2015-10-05/2015-10-11,1937,37332768
2015-10-12/2015-10-18,2542,47609680
2015-10-19/2015-10-25,2634,52558821
2015-10-26/2015-11-01,2498,48752425
2015-11-02/2015-11-08,2571,48145006
2015-11-09/2015-11-15,2346,48152317
2015-11-16/2015-11-22,2447,50944694
2015-11-23/2015-11-29,2413,50823883
2015-11-30/2015-12-06,2173,43921393
2015-12-07/2015-12-13,2133,44938859
2015-12-14/2015-12-20,2253,45190266
2015-12-21/2015-12-27,2077,43208974
2015-12-28/2016-01-03,1986,40497793
2016-01-04/2016-01-10,2096,42287895
2016-01-11/2016-01-17,1979,39910817
2016-01-18/2016-01-24,1831,35911080
2016-01-25/2016-01-31,2000,42283692
2016-02-01/2016-02-07,1376,26964887
2016-02-08/2016-02-14,586,11520432
2016-02-15/2016-02-21,1587,31012243
2016-02-22/2016-02-28,1579,31423895
2016-02-29/2016-03-06,1773,35732432
2016-03-07/2016-03-13,1704,33743326
2016-03-14/2016-03-20,1945,38075595
2016-03-21/2016-03-27,1879,37046088
2016-03-28/2016-04-03,1897,38210893
2016-04-04/2016-04-10,1868,36186120
2016-04-11/2016-04-17,2124,40464987
2016-04-18/2016-04-24,2232,44248712
2016-04-25/2016-05-01,1912,38381274
2016-05-02/2016-05-08,786,16332178
2016-05-09/2016-05-15,2119,41364797
2016-05-16/2016-05-22,2058,40884545
2016-05-23/2016-05-29,1806,34641862
2016-05-30/2016-06-05,91,1656576
